nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps
20000,1.0,0.01,1.0,0.5,0.382,0.07,6.95,37.01
20000,1.0,0.01,1.0,0.5,0.382,0.1,6.85,32.46
20000,1.0,0.01,1.0,0.5,0.2,0.01,7.77,82.56
20000,1.0,0.01,1.0,0.5,0.2,0.03,7.72,76.84
20000,1.0,0.01,1.0,0.5,0.2,0.05,7.71,76.55
20000,1.0,0.01,1.0,0.5,0.2,0.07,7.91,76.7
20000,1.0,0.01,1.0,0.5,0.2,0.1,7.44,72.71
20000,1.0,0.01,1.0,0.5,0.1,0.01,9.48,90.84
20000,1.0,0.01,1.0,0.5,0.1,0.03,9.08,81.0
20000,1.0,0.01,1.0,0.5,0.1,0.05,8.44,76.99
20000,1.0,0.01,1.0,0.5,0.1,0.07,8.44,76.99
20000,1.0,0.01,1.0,0.5,0.1,0.1,8.48,76.88
20000,1.0,0.01,1.0,0.6,0.9,0.01,7.04,13.96
20000,1.0,0.01,1.0,0.6,0.9,0.03,7.03,13.97
20000,1.0,0.01,1.0,0.6,0.9,0.05,7.02,13.98
20000,1.0,0.01,1.0,0.6,0.9,0.07,6.99,14.01
20000,1.0,0.01,1.0,0.6,0.9,0.1,7.05,13.95
20000,1.0,0.01,1.0,0.6,0.786,0.01,6.82,14.18
20000,1.0,0.01,1.0,0.6,0.786,0.03,7.04,13.96
20000,1.0,0.01,1.0,0.6,0.786,0.05,6.87,14.13
20000,1.0,0.01,1.0,0.6,0.786,0.07,6.97,14.03
20000,1.0,0.01,1.0,0.6,0.786,0.1,6.82,14.18
20000,1.0,0.01,1.0,0.6,0.618,0.01,7.23,21.57
20000,1.0,0.01,1.0,0.6,0.618,0.03,7.06,21.61
20000,1.0,0.01,1.0,0.6,0.618,0.05,7.12,18.93
20000,1.0,0.01,1.0,0.6,0.618,0.07,7.1,19.29
20000,1.0,0.01,1.0,0.6,0.618,0.1,7.12,18.8
20000,1.0,0.01,1.0,0.6,0.5,0.01,6.93,35.78
20000,1.0,0.01,1.0,0.6,0.5,0.03,6.85,30.19
20000,1.0,0.01,1.0,0.6,0.5,0.05,6.95,30.51
20000,1.0,0.01,1.0,0.6,0.5,0.07,7.11,32.97
