nb_episodes,epsilon_rate,epsilon_min,epsilon_max,learning_rate,reward_discount_rate,decay_rate,avg_rewards,avg_steps,duration
10000,1.0,0.01,1.0,0.9,0.2,0.1,7.96,90.14,3537.903647184372
10000,1.0,0.01,1.0,0.9,0.1,0.01,10.04,94.11,3563.5547156333923
10000,1.0,0.01,1.0,0.9,0.1,0.03,6.33,85.36,3588.094707250595
10000,1.0,0.01,1.0,0.9,0.1,0.05,6.9,68.74,3609.88073015213
10000,1.0,0.01,1.0,0.9,0.1,0.07,5.88,84.57,3635.382407426834
10000,1.0,0.01,1.0,0.9,0.1,0.1,9.61,90.13,3660.6579673290253
20000,1.0,0.01,1.0,0.5,0.9,0.01,5.46,16.62,3675.579154729843
20000,1.0,0.01,1.0,0.5,0.9,0.03,6.03,15.53,3689.4606199264526
20000,1.0,0.01,1.0,0.5,0.9,0.05,6.56,18.48,3703.5064494609833
20000,1.0,0.01,1.0,0.5,0.9,0.07,6.06,15.25,3717.11057472229
20000,1.0,0.01,1.0,0.5,0.9,0.1,6.27,16.33,3730.7861328125
20000,1.0,0.01,1.0,0.5,0.786,0.01,7.15,51.34,3762.68590092659
20000,1.0,0.01,1.0,0.5,0.786,0.03,6.56,36.1,3788.847896337509
20000,1.0,0.01,1.0,0.5,0.786,0.05,6.7,48.01,3816.1797564029694
20000,1.0,0.01,1.0,0.5,0.786,0.07,6.24,29.73,3838.787870168686
20000,1.0,0.01,1.0,0.5,0.786,0.1,7.14,57.38,3866.7932131290436
20000,1.0,0.01,1.0,0.5,0.618,0.01,8.63,78.8,3913.484046936035
20000,1.0,0.01,1.0,0.5,0.618,0.03,8.07,73.41,3956.7675397396088
20000,1.0,0.01,1.0,0.5,0.618,0.05,10.28,87.02,4001.9460711479187
20000,1.0,0.01,1.0,0.5,0.618,0.07,6.69,62.88,4041.830118894577
20000,1.0,0.01,1.0,0.5,0.618,0.1,5.59,64.0,4082.19225025177
20000,1.0,0.01,1.0,0.5,0.5,0.01,8.13,69.69,4125.889295339584
20000,1.0,0.01,1.0,0.5,0.5,0.03,4.72,75.11,4171.004448890686
20000,1.0,0.01,1.0,0.5,0.5,0.05,7.95,75.88,4218.099658250809
20000,1.0,0.01,1.0,0.5,0.5,0.07,6.57,72.74,4263.339958667755
20000,1.0,0.01,1.0,0.5,0.5,0.1,8.28,71.53,4306.378010034561
20000,1.0,0.01,1.0,0.5,0.382,0.01,6.42,76.9,4354.815485239029
20000,1.0,0.01,1.0,0.5,0.382,0.03,5.46,67.41,4399.1587703228
20000,1.0,0.01,1.0,0.5,0.382,0.05,7.16,88.64,4449.130311250687
20000,1.0,0.01,1.0,0.5,0.382,0.07,6.0,73.41,4494.512856245041
20000,1.0,0.01,1.0,0.5,0.382,0.1,13.45,98.3,4546.448574542999
20000,1.0,0.01,1.0,0.5,0.2,0.01,2.78,75.79,4593.842858791351
20000,1.0,0.01,1.0,0.5,0.2,0.03,6.45,90.29,4645.087967157364
20000,1.0,0.01,1.0,0.5,0.2,0.05,13.0,98.37,4698.036702871323
20000,1.0,0.01,1.0,0.5,0.2,0.07,8.65,88.21,4750.215120315552
20000,1.0,0.01,1.0,0.5,0.2,0.1,8.24,90.52,4801.969732284546
20000,1.0,0.01,1.0,0.5,0.1,0.01,5.08,93.15,4854.327337265015
20000,1.0,0.01,1.0,0.5,0.1,0.03,8.07,82.43,4904.788958072662
20000,1.0,0.01,1.0,0.5,0.1,0.05,6.43,90.94,4958.012001514435
20000,1.0,0.01,1.0,0.5,0.1,0.07,4.81,91.83,5009.415820121765
20000,1.0,0.01,1.0,0.5,0.1,0.1,7.27,84.5,5061.254607439041
20000,1.0,0.01,1.0,0.6,0.9,0.01,5.99,17.26,5077.994720220566
20000,1.0,0.01,1.0,0.6,0.9,0.03,6.35,24.92,5094.114995718002
